,beekin_id,latitude,longitude,baths,beds,sqft,posted_at,property_type,price,city,blockgroup,days_since_2014,trans_log_price
1158,3de96a793d,43.582472,-116.601623,2.0,2.0,1018.0,2022-04-30,3.0,1625.0,Nampa,160270206011,3041,0.7158018721489421
1159,5d5ebcfbfe,43.594088,-116.513051,2.0,3.0,1652.0,2022-04-30,0.0,2495.0,Nampa,160270207002,3041,2.538183006731071
1160,06d7dad39e,43.632682,-116.562757,2.0,3.0,1522.0,2022-05-01,1.0,2095.0,Nampa,160270211003,3042,1.7955331405367707
1161,3d963d9a3c,43.583916,-116.610946,2.0,3.0,1416.0,2022-05-01,1.0,1900.0,Nampa,160270206011,3042,1.380295370407293
1162,77ff33bab7,43.594658,-116.569659,3.0,3.0,1573.0,2022-05-01,0.0,1865.0,Nampa,160270202001,3042,1.3012731304319591
1163,6572ef0911,43.563864,-116.557601,1.0,1.0,600.0,2022-05-01,3.0,1050.0,Nampa,160270204022,3042,-1.1403115520377705
1164,6729784c75,43.627659,-116.560018,2.0,4.0,1845.0,2022-05-01,1.0,2350.0,Nampa,160270211003,3042,2.283712359562252
1165,8f332af906,43.627659,-116.560018,2.0,4.0,1860.0,2022-05-02,1.0,2295.0,Nampa,160270211003,3043,2.183058361486548
1166,05bab46f95,43.572296,-116.572681,3.0,4.0,1842.0,2022-05-01,1.0,2100.0,Nampa,160270203002,3042,1.805664599887347
1167,ebcb0e3f43,43.582359,-116.547733,1.0,2.0,1200.0,2022-05-02,1.0,1450.0,Nampa,160270202003,3043,0.23152222692208596
1168,9d5695d959,43.588158,-116.617323,2.0,3.0,1250.0,2022-05-02,0.0,2250.0,Nampa,160270209021,3043,2.0988943204341455
1169,c6365859e6,43.565346,-116.607582,2.0,4.0,1327.0,2022-05-02,1.0,2000.0,Nampa,160270209021,3043,1.5982993185692504
1170,0e10f61bea,43.5995,-116.620555,2.0,3.0,1620.0,2022-05-02,1.0,2300.0,Nampa,160270210022,3043,2.1923078649956196
1171,cae6eb16f8,43.613304,-116.52068,2.0,3.0,1600.0,2022-05-02,1.0,2000.0,Nampa,160270211002,3043,1.5982993185692504
1172,3be8dd14a1,43.605506,-116.550039,2.0,3.0,1095.0,2022-05-02,1.0,1495.0,Nampa,160270211003,3043,0.3614179284024556
1173,079c87fc54,43.598476,-116.60391,2.0,2.0,880.0,2022-05-02,2.0,1345.0,Nampa,160270210024,3043,-0.08795924592441874
1174,db848e3efe,43.614536,-116.51804,2.0,3.0,1550.0,2022-05-02,1.0,1550.0,Nampa,160270211002,3043,0.5149702511259512
1175,6cf535cccd,43.62504,-116.548117,2.0,4.0,2351.0,2022-05-03,1.0,2750.0,Nampa,160270211002,3044,2.951773910515083
1176,d1bd11c7e3,43.55873,-116.56272,2.0,2.0,980.0,2022-05-03,1.0,1595.0,Nampa,160270205041,3044,0.6366043286950628
1177,c96cfcc067,43.55589,-116.58153,2.0,2.0,951.0,2022-05-03,2.0,1450.0,Nampa,160270205031,3044,0.23152222692208596
1178,c9982b182b,43.57217,-116.57227,3.0,4.0,1842.0,2022-05-06,1.0,2100.0,Nampa,160270203002,3047,1.805664599887347
1190,81f38569c9,43.669722,-116.650818,2.0,3.0,1574.0,2022-06-26,1.0,2000.0,Caldwell,160270211001,3098,1.5982993185692504
1191,be93d2c1f8,43.668558,-116.628249,3.0,4.0,2636.0,2022-06-27,1.0,2875.0,Caldwell,160270211001,3099,3.140700355168479
1192,a8f3203f90,43.617855,-116.64717,2.0,3.0,1888.0,2022-06-28,1.0,2295.0,Caldwell,160270210011,3100,2.183058361486548
