,blockgroup,population,housing,education,transportation,year
284,160659505002,1800.0,526.0,1241.0,637.0,2019
285,160659505001,1369.0,377.0,1029.0,643.0,2019
286,160659505003,1703.0,378.0,1061.0,700.0,2019
287,160659502002,1852.0,646.0,1459.0,869.0,2019
288,160659502003,980.0,340.0,688.0,450.0,2019
289,160659503021,1728.0,1381.0,1728.0,708.0,2019
290,160659503024,1792.0,998.0,1635.0,1126.0,2019
291,160659503022,8126.0,2696.0,5910.0,3865.0,2019
292,160659503012,973.0,558.0,904.0,645.0,2019
293,160659502001,1770.0,637.0,1446.0,664.0,2019
294,160659503015,770.0,368.0,577.0,275.0,2019
295,160659503013,163.0,0.0,163.0,18.0,2019
296,160659504001,3095.0,1140.0,2223.0,1203.0,2019
297,160659501002,1556.0,471.0,1001.0,549.0,2019
298,160459601001,1765.0,662.0,1349.0,487.0,2019
299,160039502002,933.0,439.0,786.0,268.0,2019
300,160050004001,3738.0,1091.0,2462.0,1376.0,2019
301,160050012003,1667.0,547.0,942.0,590.0,2019
302,160050010002,1211.0,450.0,951.0,473.0,2019
303,160050010001,1236.0,559.0,939.0,544.0,2019
304,160050003003,2201.0,1182.0,1832.0,1026.0,2019
305,160050006002,2295.0,708.0,1809.0,747.0,2019
306,160050013003,711.0,397.0,606.0,377.0,2019
307,160050013001,726.0,437.0,585.0,346.0,2019
308,160050017001,2720.0,1136.0,2369.0,1155.0,2019
309,160050017002,835.0,299.0,536.0,330.0,2019
310,160050011011,3283.0,1038.0,2264.0,1327.0,2019
311,160050011012,1917.0,697.0,1485.0,718.0,2019
312,160050011014,1107.0,423.0,818.0,539.0,2019
313,160050011013,1016.0,424.0,919.0,532.0,2019
314,160050011023,474.0,340.0,403.0,228.0,2019
315,160050011022,2159.0,683.0,1508.0,869.0,2019
316,160050011021,1322.0,452.0,1014.0,636.0,2019
317,160050016012,1285.0,812.0,1060.0,575.0,2019
318,160050007001,1630.0,638.0,1434.0,657.0,2019
319,160050007002,1333.0,701.0,1130.0,619.0,2019
320,160050007003,1339.0,363.0,1143.0,356.0,2019
321,160059818001,351.0,134.0,269.0,135.0,2019
322,160050014003,491.0,222.0,402.0,231.0,2019
323,160050014004,820.0,415.0,674.0,335.0,2019
324,160050015004,721.0,264.0,552.0,256.0,2019
325,160050015002,2157.0,901.0,1500.0,672.0,2019
326,160050015005,976.0,343.0,795.0,567.0,2019
327,160050016022,687.0,271.0,478.0,275.0,2019
328,160050016021,1694.0,805.0,1287.0,761.0,2019
329,160050005001,2029.0,682.0,1581.0,959.0,2019
330,160050002003,1325.0,518.0,1125.0,408.0,2019
331,160050003001,3737.0,1114.0,2474.0,1506.0,2019
332,160050009001,1988.0,878.0,1468.0,867.0,2019
333,160050008001,2570.0,1234.0,2162.0,1430.0,2019
334,160050016032,1957.0,717.0,1619.0,830.0,2019
335,160050014002,655.0,388.0,508.0,236.0,2019
336,160050014001,1049.0,391.0,852.0,533.0,2019
337,160050015003,874.0,369.0,644.0,293.0,2019
338,160050015001,1047.0,335.0,674.0,410.0,2019
339,160050016023,1495.0,554.0,1051.0,673.0,2019
340,160050002001,1206.0,330.0,862.0,432.0,2019
341,160050016031,981.0,519.0,772.0,460.0,2019
342,160050003002,840.0,318.0,602.0,245.0,2019
343,160050006001,1831.0,657.0,1654.0,696.0,2019
344,160050013002,1011.0,388.0,764.0,391.0,2019
345,160050009002,457.0,362.0,419.0,104.0,2019
346,160050004002,2350.0,799.0,1848.0,1178.0,2019
347,160050012001,1094.0,356.0,814.0,522.0,2019
348,160050003004,2504.0,940.0,1737.0,842.0,2019
349,160199701003,1212.0,471.0,834.0,367.0,2019
350,160199715001,642.0,257.0,546.0,248.0,2019
351,160199713013,869.0,429.0,591.0,314.0,2019
352,160199713012,1881.0,681.0,1515.0,946.0,2019
353,160199713014,507.0,354.0,385.0,235.0,2019
354,160199713015,1910.0,504.0,1042.0,670.0,2019
355,160199705022,1738.0,621.0,1179.0,748.0,2019
356,160199705023,2537.0,805.0,1720.0,1015.0,2019
357,160199711002,824.0,505.0,687.0,612.0,2019
358,160199711004,481.0,274.0,455.0,181.0,2019
359,160199711003,524.0,261.0,438.0,277.0,2019
360,160199714004,1916.0,733.0,1447.0,752.0,2019
361,160199714002,2087.0,715.0,1510.0,807.0,2019
362,160199714003,3889.0,1225.0,2751.0,1456.0,2019
363,160199714001,1380.0,810.0,1204.0,532.0,2019
364,160199710005,1317.0,546.0,951.0,498.0,2019
365,160199710002,636.0,304.0,517.0,282.0,2019
366,160199710004,665.0,309.0,512.0,307.0,2019
367,160199710003,538.0,241.0,375.0,220.0,2019
368,160199710006,823.0,325.0,637.0,314.0,2019
369,160199710001,972.0,323.0,629.0,510.0,2019
370,160199712003,1474.0,734.0,1211.0,821.0,2019
371,160199712004,345.0,212.0,275.0,149.0,2019
372,160199712002,1420.0,559.0,1080.0,577.0,2019
373,160199703001,2264.0,584.0,1537.0,804.0,2019
374,160199703002,1759.0,595.0,1237.0,774.0,2019
375,160199704011,2149.0,761.0,1671.0,941.0,2019
376,160199704012,1037.0,430.0,691.0,403.0,2019
377,160199704021,2073.0,661.0,1490.0,851.0,2019
378,160199708002,775.0,334.0,530.0,277.0,2019
379,160199708003,1275.0,465.0,877.0,567.0,2019
380,160199704033,3660.0,1113.0,2665.0,1531.0,2019
381,160199704031,5967.0,1954.0,3509.0,2470.0,2019
382,160199701001,1103.0,959.0,955.0,358.0,2019
383,160199707003,1112.0,341.0,769.0,395.0,2019
384,160199707001,690.0,363.0,548.0,357.0,2019
385,160199707004,885.0,479.0,681.0,321.0,2019
386,160199707002,2902.0,900.0,2321.0,1170.0,2019
387,160199706021,1695.0,620.0,1165.0,787.0,2019
388,160199709001,954.0,374.0,651.0,355.0,2019
389,160199709003,2835.0,1002.0,2016.0,1092.0,2019
390,160199713024,1477.0,700.0,1100.0,728.0,2019
391,160199713021,1128.0,375.0,771.0,500.0,2019
392,160199713023,1529.0,662.0,1340.0,584.0,2019
393,160199705011,8666.0,2908.0,6269.0,3494.0,2019
394,160199705031,5894.0,2067.0,4065.0,2242.0,2019
395,160199706013,1062.0,380.0,838.0,487.0,2019
396,160199706012,1214.0,417.0,830.0,425.0,2019
397,160199706011,637.0,246.0,534.0,353.0,2019
398,160199711001,811.0,388.0,620.0,456.0,2019
399,160199706023,1023.0,419.0,774.0,461.0,2019
400,160199708001,983.0,422.0,775.0,432.0,2019
401,160199704032,2025.0,606.0,1358.0,978.0,2019
402,160199701002,2066.0,616.0,1391.0,775.0,2019
403,160199715002,1045.0,402.0,711.0,364.0,2019
404,160199713011,1195.0,503.0,926.0,554.0,2019
405,160199705021,1447.0,609.0,1115.0,810.0,2019
406,160199711005,617.0,377.0,572.0,338.0,2019
407,160199701004,1168.0,345.0,835.0,436.0,2019
408,160199712001,1332.0,514.0,1037.0,625.0,2019
409,160199704022,3598.0,1140.0,2430.0,1428.0,2019
410,160199708004,766.0,375.0,574.0,338.0,2019
411,160199706031,2231.0,926.0,1880.0,939.0,2019
412,160199706022,3488.0,1489.0,2575.0,1507.0,2019
413,160199709002,1356.0,477.0,972.0,568.0,2019
414,160199713022,947.0,393.0,655.0,452.0,2019
415,160270219032,5666.0,1771.0,4336.0,2235.0,2019
416,160270219031,5826.0,1921.0,4279.0,2132.0,2019
417,160270205031,3254.0,1247.0,2412.0,1232.0,2019
418,160270205012,1837.0,650.0,1301.0,732.0,2019
419,160270209023,2944.0,1156.0,2394.0,1288.0,2019
420,160270206023,1608.0,433.0,1194.0,605.0,2019
421,160270206024,1189.0,413.0,941.0,403.0,2019
422,160270206022,1758.0,724.0,1155.0,690.0,2019
423,160270206011,5834.0,1767.0,4044.0,2408.0,2019
424,160270219042,749.0,321.0,613.0,221.0,2019
